"Year","Game_Type","Week","Date_Time","Favorite","Fav_id","Fav_abv","Underdog","Dog_id","Dog_abv","Line","Total","Fav_Home","Dog_Home","DATE","TIME","DATETIME","Game_id"
2007,"post","WC","1/6 4:30 ET","Indianapolis",14,"IND","Kansas City",16,"KC",-7,51,"Y","N",2007-01-06,"4:30 PM",2007-01-06 16:30:00,"20070106_14_16"
2006,"reg","17","12/31 8:15 ET","Chicago",6,"CHI","Green Bay",12,"GB",-3.5,38.5,"Y","N",2006-12-31,"8:15 PM",2006-12-31 20:15:00,"20061231_6_12"
2006,"reg","17","12/31 4:15 ET","San Diego",17,"LAC","Arizona",1,"ARI",-13.5,44.5,"Y","N",2006-12-31,"4:15 PM",2006-12-31 16:15:00,"20061231_1_17"
2006,"reg","17","12/31 4:15 ET","Denver",10,"DEN","San Francisco",28,"SF",-11,40,"Y","N",2006-12-31,"4:15 PM",2006-12-31 16:15:00,"20061231_10_28"
2006,"reg","17","12/31 4:15 ET","Baltimore",3,"BAL","Buffalo",4,"BUF",-9.5,36.5,"Y","N",2006-12-31,"4:15 PM",2006-12-31 16:15:00,"20061231_3_4"
2006,"reg","17","12/31 4:15 ET","Indianapolis",14,"IND","Miami",19,"MIA",-9,43.5,"Y","N",2006-12-31,"4:15 PM",2006-12-31 16:15:00,"20061231_14_19"
2006,"reg","17","12/31 4:15 ET","Philadelphia",26,"PHI","Atlanta",2,"ATL",-6.5,42.5,"Y","N",2006-12-31,"4:15 PM",2006-12-31 16:15:00,"20061231_2_26"
2006,"reg","17","12/31 1:00 ET","Carolina",5,"CAR","New Orleans",22,"NO",-2.5,38,"N","Y",2006-12-31,"1:00 PM",2006-12-31 13:00:00,"20061231_5_22"
2006,"reg","17","12/31 1:00 ET","Dallas",9,"DAL","Detroit",11,"DET",-13.5,45,"Y","N",2006-12-31,"1:00 PM",2006-12-31 13:00:00,"20061231_9_11"
2006,"reg","17","12/31 1:00 ET","Tampa Bay",30,"TB","Seattle",29,"SEA",-3,37,"Y","N",2006-12-31,"1:00 PM",2006-12-31 13:00:00,"20061231_29_30"
2006,"reg","17","12/31 1:00 ET","Kansas City",16,"KC","Jacksonville",15,"JAX",-2.5,36.5,"Y","N",2006-12-31,"1:00 PM",2006-12-31 13:00:00,"20061231_15_16"
2006,"reg","17","12/31 1:00 ET","Houston",13,"HOU","Cleveland",8,"CLE",-6,37.5,"Y","N",2006-12-31,"1:00 PM",2006-12-31 13:00:00,"20061231_8_13"
2006,"reg","17","12/31 1:00 ET","Tennessee",31,"TEN","New England",21,"NE",-3.5,41,"Y","N",2006-12-31,"1:00 PM",2006-12-31 13:00:00,"20061231_21_31"
2006,"reg","17","12/31 1:00 ET","Cincinnati",7,"CIN","Pittsburgh",27,"PIT",-6,44,"Y","N",2006-12-31,"1:00 PM",2006-12-31 13:00:00,"20061231_7_27"
2006,"reg","17","12/31 1:00 ET","NY Jets",24,"NYJ","Oakland",25,"OAK",-10.5,34,"Y","N",2006-12-31,"1:00 PM",2006-12-31 13:00:00,"20061231_24_25"
2006,"reg","17","12/31 1:00 ET","St. Louis",18,"LAR","Minnesota",20,"MIN",-1.5,43.5,"N","Y",2006-12-31,"1:00 PM",2006-12-31 13:00:00,"20061231_18_20"
2006,"reg","17","12/30 8:00 ET","NY Giants",23,"NYG","Washington",32,"WAS",-2,42.5,"N","Y",2006-12-30,"8:00 PM",2006-12-30 20:00:00,"20061230_23_32"
2006,"reg","16","12/25 8:30 ET","Miami",19,"MIA","NY Jets",24,"NYJ",-2,36.5,"Y","N",2006-12-25,"8:30 PM",2006-12-25 20:30:00,"20061225_19_24"
2006,"reg","16","12/25 5:00 ET","Dallas",9,"DAL","Philadelphia",26,"PHI",-7,47.5,"Y","N",2006-12-25,"5:00 PM",2006-12-25 17:00:00,"20061225_9_26"
2006,"reg","16","12/24 4:15 ET","San Diego",17,"LAC","Seattle",29,"SEA",-4,45.5,"N","Y",2006-12-24,"4:15 PM",2006-12-24 16:15:00,"20061224_17_29"
2006,"reg","16","12/24 4:15 ET","Denver",10,"DEN","Cincinnati",7,"CIN",-3,44.5,"Y","N",2006-12-24,"4:15 PM",2006-12-24 16:15:00,"20061224_7_10"
2006,"reg","16","12/24 4:05 ET","San Francisco",28,"SF","Arizona",1,"ARI",-3.5,45,"Y","N",2006-12-24,"4:05 PM",2006-12-24 16:05:00,"20061224_1_28"
2006,"reg","16","12/24 1:00 ET","NY Giants",23,"NYG","New Orleans",22,"NO",-3,47.5,"Y","N",2006-12-24,"1:00 PM",2006-12-24 13:00:00,"20061224_22_23"
2006,"reg","16","12/24 1:00 ET","Cleveland",8,"CLE","Tampa Bay",30,"TB",-3,37.5,"Y","N",2006-12-24,"1:00 PM",2006-12-24 13:00:00,"20061224_8_30"
2006,"reg","16","12/24 1:00 ET","Chicago",6,"CHI","Detroit",11,"DET",-6,42,"N","Y",2006-12-24,"1:00 PM",2006-12-24 13:00:00,"20061224_6_11"
2006,"reg","16","12/24 1:00 ET","St. Louis",18,"LAR","Washington",32,"WAS",-1.5,43,"Y","N",2006-12-24,"1:00 PM",2006-12-24 13:00:00,"20061224_18_32"
2006,"reg","16","12/24 1:00 ET","Atlanta",2,"ATL","Carolina",5,"CAR",-6.5,40.5,"Y","N",2006-12-24,"1:00 PM",2006-12-24 13:00:00,"20061224_2_5"
2006,"reg","16","12/24 1:00 ET","Pittsburgh",27,"PIT","Baltimore",3,"BAL",-4,36.5,"Y","N",2006-12-24,"1:00 PM",2006-12-24 13:00:00,"20061224_3_27"
2006,"reg","16","12/24 1:00 ET","Indianapolis",14,"IND","Houston",13,"HOU",-9,47,"N","Y",2006-12-24,"1:00 PM",2006-12-24 13:00:00,"20061224_13_14"
2006,"reg","16","12/24 1:00 ET","Jacksonville",15,"JAX","New England",21,"NE",-3,37,"Y","N",2006-12-24,"1:00 PM",2006-12-24 13:00:00,"20061224_15_21"
